aioli,aïoli
archaic,archaïc
Beelzebub,Beëlzebub
being,beïng
Bootes,Boötes
Bronte,Brontë
cacoepistic,cacoëpistic
cacoepy,cacoëpy
cacoethe,cacoëthe
cacoethic,cacoëthic
cacoethical,cacoëthical
caique,caïque
caiquejee,caïquejee
Citroen,Citroën
coalition,coälition
coefficient,coëfficient
coeval,coëval
coexist,coëxist
coexisted,coëxisted
coexisting,coëxisting
coincidence,coïncidence
coincidentally,coïncidentally
continuum,continuüm
cooccurr,coöccurr
cooccurrence,coöccurrence
coop,coöp
cooped,coöped
cooperant,coöperant
cooperate,coöperate
cooperated,coöperated
cooperation,coöperation
cooperative,coöperative
cooperatively,coöperatively
cooperator,coöperator
coops,coöps
coopt,coöpt
coopted,coöpted
coopting,coöpting
cooption,coöption
coordinate,coördinate
coordinated,coördinated
coordinating,coördinating
coordination,coördination
coordinator,coördinator
coordinators,coördinators
coossify,coössify
create,creäte
created,creäted
creating,creäting
Creusa,Creüsa
Croatia,Croätia
dais,daïs
deemphasis,deëmphasis
deemphasize,deëmphasize
deemphasized,deëmphasized
deemphasizing,deëmphasizing
deist,deïst
demosaicking,demosaïcking
diet,diët
doing,doïng
egoism,egoïsm
egoistic,egoïstic
electroosmosis,electroösmosis
enzootic,enzoötic
epizoon,epizoön
epizootic,epizoötic
extraordinary,extraördinary
faience,faïence
faroelite,faröelite
going,goïng
haliaeetos,haliæëtos
hiarneite,hiärneite
hyperoodon,hyperoödon
iambic,ïambic
intraatomic,intraätomic
intuition,intuïtion
Judaism,Judaïsm
Kyiv,Kyïv
langue d'oil,langue d’oïl
Laocoon,Laocoön
macroorganism,macroörganism
meander,meänder
meandered,meändered
meandering,meändering
microorganism,microörganism
Moet,Moët
monoideism,monoïdeism
mosaic,mosaïc
naif,naïf
naive,naïve
naively,naïvely
naiveness,naïveness
naivete,naïveté
Noel,Noël
noeses,noëses
noesis,noësis
noone,noöne
noosphere,noösphere
oenochoe,oenochoë
oocyte,oöcyte
oology,oölogy
opium,opïum
orthoepist,orthoëpist
orthoepy,orthoëpy
palaeooceanography,palaeoöceanography
paleooceanography,paleoöceanography
panzooty,panzoöty
paranoia,paranoïa
Phaethon,Phaëthon
Phaethontean,Phaëthontean
Phaethontiad,Phaëthontiad
poem,poëm
poet,poët
poetry,poëtry
poetical,poëtical
preeclampsia,preëclampsia
preelection,preëlection
preeminence,preëminence
preeminent,preëminent
preeminently,preëminently
preempt,preëmpt
preempted,preëmpted
preemptible,preëmptible
preempting,preëmpting
preemption,preëmption
preemptioner,preëmptioner
preemptive,preëmptive
preemptively,preëmptively
preemptor,preëmptor
preemptory,preëmptory
preestablish,preëstablish
preestablished,preëstablished
preestablishes,preëstablishes
preestablishing,preëstablishing
preestablishment,preëstablishment
preexist,preëxist
preexisted,preëxisted
preexistence,preëxistence
preexistent,preëxistent
preexisting,preëxisting
preexponential,preëxponential
prooxidant,proöxidant
react,reäct
reacted,reäcted
reacting,reäcting
reaction,reäction
readmit,reädmit
reagent,reägent
reappearance,reäppearance
reappointment,reäppointment
reedit,reëdit
reedited,reëdited
reediting,reëditing
reeducate,reëducate
reeducated,reëducated
reeducating,reëducating
reelect,reëlect
reelected,reëlected
reelecting,reëlecting
reelection,reëlection
reelects,reëlects
reeligible,reëligible
reembark,reëmbark
reembody,reëmbody
reembrace,reëmbrace
reemerge,reëmerge
reemerged,reëmerged
reemergence,reëmergence
reemerging,reëmerging
reemit,reëmit
reemploy,reëmploy
reemployed,reëmployed
reemploying,reëmploying
reemployment,reëmployment
reenable,reënable
reenabled,reënabled
reenabling,reënabling
reenact,reënact
reenactment,reënactment
reenforce,reënforce
reenforcement,reënforcement
reenter,reënter
reentered,reëntered
reentering,reëntering
reentrance,reëntrance
reentrant,reëntrant
reentries,reëntries
reentry,reëntry
reenvisagement,reënvisagement
reescalation,reëscalation
reestablish,reëstablish
reestablished,reëstablished
reestablishing,reëstablishing
reestablishment,reëstablishment
reevaluate,reëvaluate
reevaluated,reëvaluated
reevaluating,reëvaluating
reevoke,reëvoke
reevoked,reëvoked
reevoking,reëvoking
reexamination,reëxamination
reexamine,reëxamine
reexamined,reëxamined
reexamining,reëxamining
reexpand,reëxpand
reexpress,reëxpress
reexpressed,reëxpressed
reextend,reëxtend
reextended,reëxtended
reextending,reëxtending
reimmerse,reïmmerse
reimmersed,reïmmersed
reinvent,reïnvent
residuum,residuüm
reunion,reünion
role,rôle
skiing,skiïng
Thais,Thaïs
uncooperative,uncoöperative
uncoordinate,uncoördinate
uncoordinated,uncoördinated
vacuum,vacuüm
varieties,variëties
variety,variëty
whensoever,whensoëver
whereas,whereäs
whoever,whoëver
whomsoever,whomsoëver
whosoever,whosoëver
Zaire,Zaïre
Zoe,Zoë
zoochemistry,zoöchemistry
zoochlorella,zoöchlorella
zoochlorellae,zoöchlorellae
zoological,zoölogical
zoology,zoölogy